Route,lat,lon,elevation
843,-2.66627,-78.20964,
844,-2.66639,-78.20964,
845,-2.6665,-78.20966,
846,-2.66662,-78.20968,
847,-2.66671,-78.20972,
848,-2.66678,-78.20976,
849,-2.66686,-78.20985,
850,-2.66693,-78.20995,
851,-2.66761,-78.21185,
852,-2.66777,-78.21232,
853,-2.66786,-78.21251,
854,-2.66792,-78.21259,
855,-2.66799,-78.21267,
856,-2.66808,-78.21274,
857,-2.66816,-78.21278,
858,-2.66826,-78.21281,
859,-2.66836,-78.21281,
860,-2.66843,-78.21281,
861,-2.66857,-78.21278,
862,-2.66869,-78.21274,
863,-2.66896,-78.21262,
864,-2.67031,-78.21195,
865,-2.67215,-78.21109,
866,-2.67236,-78.21101,
867,-2.67251,-78.21097,
868,-2.67269,-78.21094,
869,-2.67288,-78.21093,
870,-2.67304,-78.21094,
871,-2.6732,-78.21096,
872,-2.67349,-78.21104,
873,-2.67617,-78.21203,
874,-2.67699,-78.21234,
875,-2.67772,-78.21261,
876,-2.67781,-78.21265,
877,-2.67789,-78.21269,
878,-2.678,-78.21276,
879,-2.67812,-78.21284,
880,-2.6783,-78.213,
881,-2.67852,-78.21322,
882,-2.67903,-78.21374,
883,-2.67908,-78.21379,
884,-2.67914,-78.21386,
885,-2.6797,-78.21446,
886,-2.67977,-78.21453,
887,-2.68028,-78.21508,
888,-2.68082,-78.21564,
889,-2.6814,-78.21624,
890,-2.68215,-78.21703,
891,-2.68307,-78.2181,
892,-2.68319,-78.21824,
893,-2.68474,-78.21976,
894,-2.68484,-78.21987,
895,-2.68493,-78.22002,
896,-2.68498,-78.22016,
897,-2.68503,-78.22034,
898,-2.68545,-78.22414,
899,-2.68547,-78.22433,
900,-2.68546,-78.22453,
901,-2.68543,-78.22474,
902,-2.68541,-78.2249,
903,-2.68536,-78.22507,
904,-2.68529,-78.22522,
905,-2.68522,-78.22535,
906,-2.68514,-78.22547,
907,-2.68502,-78.22563,
908,-2.68322,-78.22757,
909,-2.68304,-78.22772,
910,-2.68287,-78.22783,
911,-2.68263,-78.22795,
912,-2.67828,-78.22993,
913,-2.67819,-78.23,
914,-2.67813,-78.23009,
915,-2.6781,-78.23015,
916,-2.67809,-78.2302,
917,-2.67808,-78.23027,
918,-2.67808,-78.23033,
919,-2.67811,-78.23048,
920,-2.67826,-78.23096,
921,-2.67829,-78.23109,
922,-2.67828,-78.23118,
923,-2.67825,-78.23125,
924,-2.67823,-78.2313,
925,-2.67818,-78.23136,
926,-2.67809,-78.23145,
927,-2.6777,-78.23162,
928,-2.67759,-78.23169,
929,-2.6775,-78.23177,
930,-2.67745,-78.23185,
